,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,snow_1h,is_holiday,is_leacture_free
2022-11-07,165.0,1.2431654676258992,1.326315789473684,1.26,0.0010071942446043,0.07,0.07,0.8490566037735849,0.986341463414634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1982003179508034,-0.0434850737032434,-0.214656031122114,0.0484971859261162,-0.3175613255392962,0.1339527339893268,0.5719024657628541,0.4503442772581181,0.3445267589767581,0.7830875145660976,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-08,176.0,1.2,1.26,1.26,0.0009090909090909,0.07,0.07,0.8490566037735849,0.986341463414634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.1744792229362189,-0.0997605029267366,-0.1301707300671568,-0.3552126839132836,0.0101637544397859,-0.0618344620478343,0.2454134968815308,-0.3398771370251139,-0.5458933393942669,0.2402734313355655,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-09,163.0,1.2257142857142858,1.26,1.26,0.001,0.07,0.07,0.8490566037735849,0.986341463414634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0969826358254649,0.1413437056895567,-0.0197165864748153,0.1846884673177211,-0.1912506176306917,-0.1000368417624059,0.8642806468506057,0.1926954397032277,-0.0056123942889314,0.6919433587997771,0.9258996542872776,-0.1905825430599761,0.0,0.0
2022-11-10,147.0,1.227906976744186,1.26,1.26,0.0,0.07,0.07,0.8490566037735849,0.986341463414634,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2933725753758228,-0.0804908358111091,-0.2390420108762672,-0.2936023423313671,-0.4233892159492083,1.2561476381047338,0.883772525589788,-0.3542026651966041,1.0324381196974282,-0.0331590359633964,-0.5887792676178555,-0.1905825430599761,0.0,0.0
2022-11-11,94.0,1.1851851851851851,1.26,1.26,0.0,0.07,0.07,0.8490566037735849,0.986341463414634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5859135553979188,-0.4370130159746382,-0.4226540937310685,-0.5351797343236185,-0.2970785080406036,2.0918246943609,0.7863131318938714,-1.0334012361507872,-0.6819297433120625,-0.9385243165755152,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-12,0.0,1.1851851851851851,1.26,1.26,0.0,0.07,0.07,0.8490566037735849,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4946564301597724,-0.3017919609210312,-0.3186797946575791,-0.3762899060334129,-0.0774571870823993,1.986768150145832,0.9519941011769312,-1.2257425188062363,-1.167332366382378,-1.570457129888672,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-13,0.0,1.1851851851851851,1.26,1.26,0.0,0.07,0.07,0.8490566037735849,0.986341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5716348380104991,-0.5476969170540207,-0.544732385887763,-0.5465290077729189,-0.1912506176306917,0.9744050877098096,0.3526188299470403,0.1151690519516339,-1.6241364272654302,0.8742316703324186,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-14,152.0,1.1909774436090226,1.26,1.26,0.0021052631578947,0.07,0.07,0.8679245283018868,0.986341463414634,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5088775720738558,-0.4082752079233045,-0.5440398834200992,-0.3762899060334129,-0.3801477123408571,0.2151327908827734,0.6011402838716292,0.086728665140587,-0.6711086657276922,0.420536317184511,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-15,153.0,1.173529411764706,1.1025,1.26,0.0010294117647058,0.07,0.07,0.8679245283018868,0.986341463414634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4299415981296926,-0.3796040769208138,-0.3529586668069265,-0.5465290077729189,-0.1707678001319991,-0.4390829617291811,0.3282539815230599,-0.7195036335696045,-0.5675354945630073,-1.1187872024244607,-0.607831832673266,-0.1905825430599761,0.0,0.0
2022-11-16,168.0,1.208,1.26,1.26,0.0,0.07,0.07,0.8679245283018868,0.986341463414634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.759446032033738,-0.5783016824729583,-0.562737450047016,-0.4573561449569872,-0.8660456607820656,-1.2843106129139803,1.0397075555032569,-1.1819232561640312,-0.7824111780240703,-0.7562360050428739,0.4857854015072954,-0.1905825430599761,0.0,0.0
