,Target,Student Price,Worker Price,Guest Price,Student Tax,Worker Tax,Guest Tax,Week,Year,x0_Friday,x0_Monday,x0_Thursday,x0_Tuesday,x0_Wednesday,x0_April,x0_August,x0_December,x0_February,x0_January,x0_July,x0_June,x0_March,x0_May,x0_November,x0_October,x0_September
2022-03-30,85.0,1.1139240506329113,1.17,0.38999999999999996,0.0017721518987341774,0.07,0.07,0.24528301886792453,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-03-31,77.0,1.1,1.17,0.38999999999999996,0.0,0.07,0.07,0.24528301886792453,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022-04-01,72.0,1.1372881355932205,1.17,0.38999999999999996,0.0023728813559322037,0.07,0.07,0.24528301886792453,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-02,0.0,1.1372881355932205,1.17,0.38999999999999996,0.0023728813559322037,0.07,0.07,0.24528301886792453,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-03,0.0,1.1372881355932205,1.17,0.38999999999999996,0.0023728813559322037,0.07,0.07,0.24528301886792453,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,83.0,1.1,0.9572727272727272,1.755,0.0,0.07,0.07,0.2641509433962264,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-05,88.0,1.05875,1.43,1.755,0.0035000000000000005,0.07,0.07,0.2641509433962264,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-06,86.0,1.0710526315789475,1.17,1.755,0.0,0.07,0.07,0.2641509433962264,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-07,76.0,1.1687500000000002,1.365,1.17,0.0,0.07,0.07,0.2641509433962264,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-08,76.0,1.0830769230769233,1.17,2.92,0.0,0.07,0.07,0.2641509433962264,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-09,0.0,1.0830769230769233,1.17,2.92,0.0,0.07,0.07,0.2641509433962264,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-10,0.0,1.0830769230769233,1.17,2.92,0.0,0.07,0.07,0.2641509433962264,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-11,86.0,1.1,1.2674999999999998,1.17,0.0019718309859154933,0.07,0.07,0.2830188679245283,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-12,73.0,1.1360655737704919,1.17,1.17,0.0,0.07,0.07,0.2830188679245283,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-13,76.0,1.150769230769231,1.17,1.17,0.0,0.07,0.07,0.2830188679245283,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-14,71.0,1.1,1.17,1.17,0.0,0.07,0.07,0.2830188679245283,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-15,0.0,1.1,1.17,1.17,0.0,0.07,0.07,0.2830188679245283,0.9863414634146341,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-16,0.0,1.1,1.17,1.17,0.0,0.07,0.07,0.2830188679245283,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-17,0.0,1.1,1.17,1.17,0.0,0.07,0.07,0.2830188679245283,0.9863414634146341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-18,0.0,1.1,1.17,1.17,0.0,0.07,0.07,0.3018867924528302,0.9863414634146341,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-19,62.0,1.1,1.17,1.17,0.0,0.07,0.07,0.3018867924528302,0.9863414634146341,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-20,66.0,1.1207547169811323,1.31625,1.17,0.0,0.07,0.07,0.3018867924528302,0.9863414634146341,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-21,77.0,1.1183333333333334,1.17,1.4625,0.0023333333333333335,0.07,0.07,0.3018867924528302,0.9863414634146341,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
